direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,stimulusDots.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
right,right,speed,,,,,0.0,1.0,1.0,1.0,6.0,1.0,13.0,1.0,448.2046892999206,,,,,,,,,448.1912637999049,448.5545416999376,449.3549023999367,449.3380194999045,449.3380442999769,449.3549023999367,449.3549023999367,449.3549023999367,450.2890015000012,right,1.0,26.07809440011624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,7.0,0.0,14.0,0.0,450.30337609990966,,,,,,,,,450.29015599994455,451.103182699997,451.9034370000009,451.8869437999092,451.8869830999756,451.9034370000009,451.9034370000009,451.9034370000009,453.23713439994026,left,1.0,26.471410099999048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,7.0,1.0,15.0,1.0,453.2515625999076,,,,,,,,,453.2384619999211,453.601203499944,454.401721399976,454.3848750999896,454.3848995999433,454.401721399976,454.401721399976,454.401721399976,455.2196506999898,right,1.0,25.94601200008765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,8.0,0.0,16.0,0.0,455.2337630999973,,,,,,,,,455.2216225999873,456.4331013999181,457.23337179992814,457.2167684999295,457.2167986999266,457.23337179992814,457.23337179992814,457.23337179992814,458.1678111999063,left,1.0,26.078616500017237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,8.0,1.0,17.0,1.0,458.18195659993216,,,,,,,,,458.1689737999113,459.3809743999736,460.1817168999696,460.1650835999753,460.1651201999048,460.1817168999696,460.1817168999696,460.1817168999696,461.9981957999989,left,0.0,26.959655900020152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,9.0,0.0,18.0,1.0,462.0129370999057,,,,,,,,,461.9992296999553,462.3626392999431,463.1631636999082,463.1468258999521,463.1468736999668,463.1631636999082,463.1631636999082,463.1631636999082,464.7963944999501,right,1.0,26.7729629999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,9.0,1.0,19.0,0.0,464.8111461999361,,,,,,,,,464.7976158999372,465.61068499996327,466.4110656999983,466.3940370999044,466.3940510000102,466.4110656999983,466.4110656999983,466.4110656999983,467.41138169995975,left,1.0,26.137767300009727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,10.0,0.0,20.0,0.0,467.426146499929,,,,,,,,,467.4124186999397,468.22566329990514,469.026163399918,469.00947699998505,469.0095068999799,469.026163399918,469.026163399918,469.026163399918,470.0763474999694,left,1.0,26.193986300029792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,10.0,1.0,21.0,1.0,470.09121509990655,,,,,,,,,470.0770129999146,470.8908058999805,471.6912169000134,471.6744612999028,471.6744924999075,471.6912169000134,471.6912169000134,471.6912169000134,472.34160859999247,right,1.0,25.78203320002649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,11.0,0.0,22.0,1.0,472.3564705000026,,,,,,,,,472.3423225999577,473.1561403999804,473.95647560001817,473.9395483999979,473.9395735999569,473.95647560001817,473.95647560001817,473.95647560001817,474.8409861999098,right,1.0,26.015944299986582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,11.0,1.0,23.0,0.0,474.85508259991184,,,,,,,,,474.8429289999185,476.0543501999928,476.85476639994886,476.8383801999735,476.8384264999768,476.85476639994886,476.85476639994886,476.85476639994886,477.5213718999876,left,1.0,25.805048000067472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,12.0,0.0,24.0,0.0,477.5366625000024,,,,,,,,,477.52200969995465,478.7359278999502,479.53630509995855,479.51930159993935,479.5193164999364,479.53630509995855,479.53630509995855,479.53630509995855,481.7691722000018,left,1.0,27.373499300098047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,12.0,1.0,25.0,1.0,481.7839955999516,,,,,,,,,481.7700934999157,482.9836398999905,483.7839306999231,483.7665854999796,483.76659739995375,483.7839306999231,483.7839306999231,483.7839306999231,486.5999728000024,right,1.0,27.96006309997756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,13.0,0.0,26.0,1.0,486.6143872999819,,,,,,,,,486.60119879990816,487.4139594999142,488.2143256999552,488.1976225000108,488.1976517000003,488.2143256999552,488.2143256999552,488.2143256999552,490.11398089991417,right,1.0,27.03117640002165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,13.0,1.0,27.0,0.0,490.12890839995816,,,,,,,,,490.1147507999558,491.3284754999913,492.1286459999392,492.11147289990913,492.1114905999275,492.1286459999392,492.1286459999392,492.1286459999392,493.2459079999244,left,1.0,26.24663419998251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,14.0,0.0,28.0,0.0,493.2604133000132,,,,,,,,,493.2473083999939,494.05998239992186,494.8603499999736,494.8433164999588,494.843341599917,494.8603499999736,494.8603499999736,494.8603499999736,496.5113432999933,left,1.0,26.779096800019037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,14.0,1.0,29.0,1.0,496.5251103999326,,,,,,,,,496.5139453000156,496.6250182999065,497.42531590000726,497.4084333999781,497.4084578999318,497.42531590000726,497.42531590000726,497.42531590000726,498.17608789994847,right,1.0,25.88635070004966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,15.0,0.0,30.0,1.0,498.1906426999485,,,,,,,,,498.17742269998416,498.990095899906,499.79065729992,499.77379229990765,499.7738217000151,499.79065729992,499.79065729992,499.79065729992,500.9917211999418,left,0.0,26.33696260012221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,15.0,1.0,31.0,0.0,501.00568539998494,,,,,,,,,500.99369489995297,501.8051729999716,502.60553509998135,502.5886001999024,502.5886250999756,502.60553509998135,502.60553509998135,502.60553509998135,503.9565272999462,left,1.0,26.489721900084987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,16.0,0.0,32.0,1.0,503.970419399906,,,,,,,,,503.9584957999177,504.0704707999248,504.8709121999564,504.8542981999926,504.85433479992207,504.8709121999564,504.8709121999564,504.8709121999564,506.8051019000122,right,1.0,27.077764600049704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,16.0,1.0,33.0,0.0,506.8187650999753,,,,,,,,,506.807046599919,507.61789829994086,508.4186576999491,508.4019619999453,508.4019957999699,508.4186576999491,508.4186576999491,508.4186576999491,509.4194384999573,left,1.0,26.14157099998556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,17.0,0.0,34.0,1.0,509.43385229993146,,,,,,,,,509.4210083999205,509.5338290999644,510.3341097999364,510.3176075000083,510.31764409993775,510.3341097999364,510.3341097999364,510.3341097999364,511.5510473999893,right,1.0,26.355593499960374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,17.0,1.0,35.0,0.0,511.565711400006,,,,,,,,,511.5522667999612,511.6657050999347,512.4660631999141,512.4495713999495,512.4496106000151,512.4660631999141,512.4660631999141,512.4660631999141,513.167449099943,left,1.0,25.84270090004429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,18.0,0.0,36.0,1.0,513.1814293999923,,,,,,,,,513.1693919999525,513.5312558999285,514.3317332000006,514.3148750999244,514.3149042999139,514.3317332000006,514.3317332000006,514.3317332000006,515.5486126999604,right,1.0,26.35845529998187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,18.0,1.0,37.0,0.0,515.5632856999291,,,,,,,,,515.5497835999122,515.6631946999114,516.4636493999278,516.4468254999956,516.4468536999775,516.4636493999278,516.4636493999278,516.4636493999278,517.8474289999576,left,1.0,26.51750570011791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,19.0,0.0,38.0,1.0,517.8618559999159,,,,,,,,,517.8489264999516,518.6615661999676,519.4618915999308,519.4453307999065,519.445370499976,519.4618915999308,519.4618915999308,519.4618915999308,520.2464586999267,right,1.0,25.920052500092424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,19.0,1.0,39.0,0.0,520.26042159996,,,,,,,,,520.2484084999887,521.4597803999204,522.260132699972,522.2439404999604,522.2440018999623,522.260132699972,522.260132699972,522.260132699972,523.4278487999691,left,1.0,26.301211099955253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,20.0,0.0,40.0,0.0,523.4417852999177,,,,,,,,,523.429828299908,523.5417751999339,524.3421628999058,524.3256936999969,524.325729599921,524.3421628999058,524.3421628999058,524.3421628999058,525.775769699947,left,1.0,26.56402679998428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,20.0,1.0,41.0,1.0,525.790291299927,,,,,,,,,525.7772199999308,526.9895771999145,527.7899327999912,527.7733918000013,527.7734275999246,527.7899327999912,527.7899327999912,527.7899327999912,528.4738932999317,right,1.0,25.824853800004348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,21.0,0.0,42.0,0.0,528.4886500999564,,,,,,,,,528.4750475999899,528.5886372999521,529.3890626999782,529.3717408999801,529.3717576999916,529.3890626999782,529.3890626999782,529.3890626999782,530.5225544999121,left,1.0,26.270519400015477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,21.0,1.0,43.0,1.0,530.5374776999233,,,,,,,,,530.5233253999613,531.3369937000098,532.137387399911,532.1206279000035,532.1206571999937,532.137387399911,532.137387399911,532.137387399911,532.8387916999636,right,1.0,25.83890899992548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,22.0,0.0,44.0,0.0,532.852728299913,,,,,,,,,532.8407497999724,534.0520204999484,534.8524097999325,534.8357152999379,534.8357489999617,534.8524097999325,534.8524097999325,534.8524097999325,537.0354568999028,left,1.0,27.311602500034496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,22.0,1.0,45.0,1.0,537.0501001999946,,,,,,,,,537.0368651999161,537.8496506999945,538.6501128999516,538.6333874999546,538.6334230999928,538.6501128999516,538.6501128999516,538.6501128999516,539.7995819000062,right,1.0,26.290113599970937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,23.0,0.0,46.0,0.0,539.8151759000029,,,,,,,,,539.8002647999674,540.1650056999642,540.9651446999051,540.9486743999878,540.9487038999796,540.9651446999051,540.9651446999051,540.9651446999051,541.5992000999395,left,1.0,25.769657199969515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,23.0,1.0,47.0,1.0,541.6139217999298,,,,,,,,,541.6004652999109,541.963985899929,542.7641345999436,542.7470564999385,542.7470709999325,542.7641345999436,542.7641345999436,542.7641345999436,543.4145876999246,right,1.0,25.78956340008881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,24.0,0.0,48.0,0.0,543.4294857999776,,,,,,,,,543.4156211999943,543.5295348999789,544.3298724999186,544.3133647999493,544.3133985999739,544.3298724999186,544.3298724999186,544.3298724999186,545.7967384000076,left,1.0,26.605038800043985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,24.0,1.0,49.0,1.0,545.8112826999277,,,,,,,,,545.7978998000035,547.0106983999722,547.8110637000063,547.7943524000002,547.7943813999882,547.8110637000063,547.8110637000063,547.8110637000063,550.3776786999078,right,1.0,27.705743300030008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,25.0,0.0,50.0,0.0,550.391882399912,,,,,,,,,550.3796439999714,550.7417014999082,551.5420155000174,551.5249703999143,551.5249851999106,551.5420155000174,551.5420155000174,551.5420155000174,554.224798399955,right,0.0,27.81418109999504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,25.0,1.0,51.0,1.0,554.2394717999268,,,,,,,,,554.2259527000133,555.0391149999341,555.8393880999647,555.8225174999097,555.8225426999852,555.8393880999647,555.8393880999647,555.8393880999647,557.089899100014,right,1.0,26.38377510011196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,26.0,0.0,52.0,0.0,557.104367599939,,,,,,,,,557.0912214999553,557.4542665999616,558.2545915999217,558.2377505999757,558.2377841999987,558.2545915999217,558.2545915999217,558.2545915999217,559.0052874999819,left,1.0,25.881094299955294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,26.0,1.0,53.0,1.0,559.019885799964,,,,,,,,,559.0064420999261,560.2191497000167,561.0196575999726,561.0027907999465,561.0028205999406,561.0196575999726,561.0196575999726,561.0196575999726,561.6867530000163,right,1.0,25.80592100007925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,27.0,0.0,54.0,1.0,561.7016192999436,,,,,,,,,561.6877809999278,562.9010555999121,563.7014335999265,563.6841139999451,563.6841261999216,563.7014335999265,563.7014335999265,563.7014335999265,565.6178877999773,right,1.0,27.054177399957556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,27.0,1.0,55.0,0.0,565.6324321000138,,,,,,,,,565.6190993000055,565.9822683999082,566.7827243999345,566.7651851999108,566.7651965999976,566.7827243999345,566.7827243999345,566.7827243999345,567.6500257999869,left,1.0,25.99884030001704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,28.0,0.0,56.0,0.0,567.6645225000102,,,,,,,,,567.6513484999305,568.8637937000021,569.6642929000081,569.6473990000086,569.64742319996,569.6642929000081,569.6642929000081,569.6642929000081,570.9643027000129,left,1.0,26.43251529999543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,28.0,1.0,57.0,1.0,570.9791138999863,,,,,,,,,570.9651172999293,571.3291254999349,572.1294502000092,572.112290799967,572.112305299961,572.1294502000092,572.1294502000092,572.1294502000092,572.7799322999781,right,1.0,25.78416899999138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
right,right,speed,,,,,0.0,1.0,1.0,1.0,29.0,0.0,58.0,1.0,572.7946778999176,,,,,,,,,572.7809540999588,572.8947596999351,573.695141299977,573.678225099924,573.6782494999934,573.695141299977,573.695141299977,573.695141299977,575.0279555999441,left,0.0,26.462460200069472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
left,left,speed,,,,,0.0,1.0,1.0,1.0,29.0,1.0,59.0,0.0,575.0431184999179,,,,,,,,,575.0285790999187,575.1433099999558,575.9437318999553,575.926923199906,575.9269522000104,575.9437318999553,575.9437318999553,575.9437318999553,577.1605074999388,left,1.0,26.359332200023346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
,,speed,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-230,1.0,random_dot,60.06842991699003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.1610340999905,577.1754560999107,582.1725686999271,sub-230,,,,
