direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 72
,,,,,,,,,,,,,,,,,0.0058913999819196,0.0155207999632693,0.0155207999632693,9.954283599974588,space,35.40782500006026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,9.994282499945257,,,,,,,,,9.98770069994498,10.067240799951833,10.89415739994729,10.868132599978708,10.86819489998743,10.89415739994729,10.89415739994729,10.89415739994729,12.418166899995413,left,1.0,26.97946120006964,,12.423121100000571,12.44638339994708,12.931201299943496,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,12.94759829994291,,,,,,,,,12.932282499969006,13.730464199965354,14.530619299970567,14.514406999980563,14.514468999987002,14.530619299970567,14.530619299970567,14.530619299970567,15.264373599959072,right,1.0,26.20095300010871,,15.265244799957143,15.278904899954796,15.76363359997049,15.7786321999738,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,15.7786321999738,,,,,,,,,15.764833199966231,16.97768339997856,17.794343599991407,17.778309499961324,17.77837359998375,17.794343599991407,17.794343599991407,17.794343599991407,18.59571829997003,right,1.0,26.25885790004395,,18.59728869999526,18.609240599966142,19.093541699985508,19.10882699996,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,19.10882699996,,,,,,,,,19.09470129996771,19.20888609997928,20.008929099945817,19.992855299962685,19.99291649996303,20.008929099945817,20.008929099945817,20.008929099945817,21.06029419996776,right,0.0,26.507680700044148,,21.0619928999804,21.080635399965104,21.573272499954328,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,21.58962949999841,,,,,,,,,21.57444829994347,21.67298509995453,22.47322799998801,22.45719429996097,22.4572583999834,22.47322799998801,22.47322799998801,22.47322799998801,24.38992629997665,left,0.0,27.38065660005668,,24.391265099984597,24.403335299983155,24.88705389999086,24.90277019998757,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,24.90277019998757,,,,,,,,,24.887690699950326,25.252444999990985,26.052859199990053,26.036084999970623,26.03611569997156,26.052859199990053,26.052859199990053,26.052859199990053,26.971553699986544,left,1.0,26.389413800032344,,26.973085399949923,26.988161999965087,27.48460639995756,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,27.500907899986487,,,,,,,,,27.48565329995472,27.584372899960726,28.40099619998364,28.385019799985457,28.38508009997895,28.40099619998364,28.40099619998364,28.40099619998364,29.46899149997625,right,1.0,26.527355500031263,,29.470450899971183,29.482404899958052,29.966714899986982,29.981860199943185,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,29.981860199943185,,,,,,,,,29.967903599957936,30.78108689998044,31.58118869998725,31.56507699994836,31.56513909995556,31.58118869998725,31.58118869998725,31.58118869998725,32.80047639994882,left,1.0,26.68936590006342,,32.802228799962904,32.812430099991616,33.297017199976835,33.31224499997916,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,33.31224499997916,,,,,,,,,33.298178099968936,34.51104909996502,35.327977299981285,35.3115584999905,35.311623099958524,35.327977299981285,35.327977299981285,35.327977299981285,37.17858739994699,right,1.0,27.30726930004312,,37.18015839997679,37.19184549996862,37.6762316999957,37.69117239996558,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,4.0,1.0,9.0,0.0,,,,,,,,,37.69117239996558,,,,,,,,,37.677384399983566,38.041160099965055,38.84117529995274,38.825258899945766,38.82532189995982,38.84117529995274,38.84117529995274,38.84117529995274,40.44074239995098,left,1.0,27.062263400061056,,40.44163529999787,40.45526569994399,40.93968229996972,40.9547960999771,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,5.0,0.0,10.0,0.0,,,,,,,,,40.9547960999771,,,,,,,,,40.94087629998103,41.054914099979214,41.85519509995356,41.83932579995599,41.83939029998146,41.85519509995356,41.85519509995356,41.85519509995356,42.58978959999513,right,0.0,26.195130400068592,,42.59128029999556,42.604620899946894,43.10315199999605,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,5.0,1.0,11.0,1.0,,,,,,,,,43.11951329995645,,,,,,,,,43.104331099952105,44.30186389997834,45.10204039997189,45.08584909996716,45.08591029996751,45.10204039997189,45.10204039997189,45.10204039997189,45.770747799950186,right,1.0,26.135418400052004,,45.77241719997255,45.78894999995828,46.2834413999808,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,6.0,0.0,12.0,0.0,,,,,,,,,46.29992889997084,,,,,,,,,46.28449269995326,47.482354999985546,48.28258009999991,48.26649479998741,48.266557099996135,48.28258009999991,48.28258009999991,48.28258009999991,49.667124399973545,left,1.0,26.851715700060595,,49.66861949994927,49.679967599979136,50.1647594999522,50.17969299998367,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,6.0,1.0,13.0,1.0,,,,,,,,,50.17969299998367,,,,,,,,,50.16589519998524,50.5295498999767,51.346321999968495,51.3300123999943,51.33007349999389,51.346321999968495,51.346321999968495,51.346321999968495,52.16467829997418,right,1.0,26.27924350003013,,52.16614749998553,52.17763289995492,52.66185239999322,52.677369299985,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,7.0,0.0,14.0,1.0,,,,,,,,,52.677369299985,,,,,,,,,52.66289129998768,53.47671769995941,54.29342469997937,54.27708829997573,54.27714429999469,54.29342469997937,54.29342469997937,54.29342469997937,55.31125549995341,left,0.0,26.480687500094064,,55.31272969994461,55.32834509998793,55.824660299986135,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,7.0,1.0,15.0,0.0,,,,,,,,,55.8408664999879,,,,,,,,,55.82588019996183,56.62362429994391,57.42396829999052,57.407831399992574,57.40789259999292,57.42396829999052,57.42396829999052,57.42396829999052,59.05858539999463,left,1.0,27.10547060007229,,59.060100099944975,59.07505539996782,59.57125179999275,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,8.0,0.0,16.0,0.0,,,,,,,,,59.58731899998384,,,,,,,,,59.57228739996208,60.76976109994576,61.56982869998319,61.55396229994949,61.5540240999544,61.56982869998319,61.56982869998319,61.56982869998319,62.25540719996207,right,0.0,26.14596050005639,,62.257097899972,62.27242559997831,62.768063799943775,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,8.0,1.0,17.0,1.0,,,,,,,,,62.78434559999732,,,,,,,,,62.76907999999821,62.86779839999508,63.66802029998507,63.65195869997842,63.65203409997048,63.66802029998507,63.66802029998507,63.66802029998507,64.40363769995747,right,1.0,26.2042127000168,,64.40508969995426,64.41967119998299,64.91609139996581,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,,9.0,0.0,18.0,0.0,,,,,,,,,64.93264209997142,,,,,,,,,64.91726739995647,66.11462529998971,66.91510959999869,66.89885409997078,66.89891649998026,66.91510959999869,66.91510959999869,66.91510959999869,67.75036939996062,left,1.0,26.30227470007958,,67.75201989995549,67.76321249996545,68.24754739995115,68.26273709995439,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,,9.0,1.0,19.0,1.0,,,,,,,,,68.26273709995439,,,,,,,,,68.24873349996051,68.61239969998132,69.41249509999761,69.39670749998186,69.39676989999134,69.41249509999761,69.41249509999761,69.41249509999761,70.24844439997105,right,1.0,26.30645480006933,,70.25011999998242,70.26077129994519,70.74520799994934,70.76073769998038,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.74539909994928,70.76073769998038,70.76073769998038,73.87667889997829,space,28.572674000053667,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.87676489999285,73.89129859994864,73.89129859994864,76.72435179998865,space,28.29469540005084,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.99763829994481,,,,,,,,,77.99324349995004,78.78649259998929,79.60281019995455,79.58587089995854,79.58590269996785,79.60281019995455,79.60281019995455,79.60281019995455,80.4199797999463,left,1.0,26.27882790006697,,,,,,,,,,,,,,,,,,,,76.73613529995782,76.77039559994591,76.77039559994591,77.97341649996815,space,26.672518300067168,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,80.43420219997643,,,,,,,,,80.42216569994343,80.53419189999113,81.33460419997573,81.31851239997195,81.3185660999734,81.33460419997573,81.33460419997573,81.33460419997573,82.06981179997092,right,1.0,26.19145630003186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,82.0831936999457,,,,,,,,,82.0727364999475,82.18287259998033,82.98327659995994,82.96736079995753,82.96742189995712,82.98327659995994,82.98327659995994,82.98327659995994,83.66840899997624,left,1.0,26.14967120008077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,83.6816656999872,,,,,,,,,83.67139759997372,84.48113679996459,85.29779099998996,85.2819156999467,85.28197779995389,85.29779099998996,85.29779099998996,85.29779099998996,85.8667610999546,right,1.0,26.02900200005388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,85.87947449996136,,,,,,,,,85.8700062999851,85.9794591999962,86.77991189999739,86.7637807999854,86.76384729996789,86.77991189999739,86.77991189999739,86.77991189999739,87.9646972999908,left,1.0,26.6497635000851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,2.0,1.0,5.0,1.0,87.97743349999655,,,,,,,,,87.96752719994402,89.17667159996927,89.97661369998241,89.96099279995542,89.96107039996423,89.97661369998241,89.97661369998241,89.97661369998241,90.6941049999441,right,1.0,26.17966400005389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,90.70835879998047,,,,,,,,,90.69625029998132,91.05843449995156,91.85843569994904,91.84234649996506,91.8424247999792,91.85843569994904,91.85843569994904,91.85843569994904,93.16024809994268,left,1.0,26.77207680005813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,3.0,1.0,7.0,1.0,93.17290959996171,,,,,,,,,93.1636510999524,93.52240629994776,94.32250359997852,94.30644699995172,94.30650829995284,94.32250359997852,94.32250359997852,94.32250359997852,95.42418429994724,left,0.0,26.57031730003655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,4.0,0.0,8.0,0.0,95.43712569994386,,,,,,,,,95.42714309995064,96.63644309999654,97.45295409997924,97.43701689998852,97.43708309996872,97.45295409997924,97.45295409997924,97.45295409997924,98.13826829998288,left,1.0,26.14692870003637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,4.0,1.0,9.0,1.0,98.1514725999441,,,,,,,,,98.14165439998033,98.95082319999348,99.75087219994748,99.73480509995716,99.73486819997196,99.75087219994748,99.75087219994748,99.75087219994748,100.3028603999992,right,1.0,26.01140810007928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,5.0,0.0,10.0,1.0,100.31619039998624,,,,,,,,,100.30628219997745,100.66579319996526,101.4658584999852,101.45002399996156,101.45011369994609,101.4658584999852,101.4658584999852,101.4658584999852,102.95015389996117,right,1.0,26.94640930008609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,5.0,1.0,11.0,0.0,102.96359139995184,,,,,,,,,102.95302169997012,104.16245039994828,104.96270689996892,104.94648619997317,104.94654909998644,104.96270689996892,104.96270689996892,104.96270689996892,105.6313281999901,left,1.0,26.13350800005719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,6.0,0.0,12.0,0.0,105.64450939995004,,,,,,,,,105.63469779997833,106.843489699997,107.65971989999524,107.64290449995316,107.6429374999716,107.65971989999524,107.65971989999524,107.65971989999524,108.92862519994378,left,1.0,26.72557810001308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,6.0,1.0,13.0,1.0,108.94155879999744,,,,,,,,,108.93187749997014,110.14032559999032,110.94033269997452,110.92423710000004,110.92429919994902,110.94033269997452,110.94033269997452,110.94033269997452,111.62609929998872,right,1.0,26.14076690003276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,7.0,0.0,14.0,1.0,111.63875249994452,,,,,,,,,111.6293232999742,111.98867719998816,112.78862999996636,112.77280059998157,112.77286099997582,112.78862999996636,112.78862999996636,112.78862999996636,113.79046509996988,left,0.0,26.470142400066837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,7.0,1.0,15.0,0.0,113.80369209998752,,,,,,,,,113.7937130999635,114.60291619994678,115.4031268999679,115.38716899999416,115.38723119994393,115.4031268999679,115.4031268999679,115.4031268999679,116.33792069996709,left,1.0,26.39278060005745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
left,left,speed,,,,,0.0,0.0,0.0,1.0,8.0,0.0,16.0,0.0,116.3509927999694,,,,,,,,,116.34115939994808,117.54991159995552,118.34997359995032,118.33311929996124,118.33315199997742,118.34997359995032,118.34997359995032,118.34997359995032,119.70044629997574,right,0.0,26.818293200049084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
right,right,speed,,,,,0.0,0.0,0.0,1.0,8.0,1.0,17.0,1.0,119.71440949995304,,,,,,,,,119.70258099999046,120.51393669995014,121.31398189999165,121.29810529999668,121.2981654999894,121.31398189999165,121.31398189999165,121.31398189999165,122.41451409994625,right,1.0,26.568938300013546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-105,2.0,random_dot,59.96231967062373,
