direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026552000781521,0.0083964000223204,0.0083964000223204,38.66683550004382,space,38.64975979994051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,0.0,0.0,0.0,left,0.0,8.798077400075272,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,38.74254750006367,,,,,,,,,38.73909400007688,38.77561320003588,39.594966200063936,39.55960210005287,39.560081600095145,39.594966200063936,39.594966200063936,39.594966200063936,44.56004530005157,48.39369630010333,left,0.0,8.798077400075272,,48.41482950001955,48.4199250000529,48.89518900006078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,1.0,1.0,0.0,right,0.0,2.3629977999953558,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,48.908921700087376,,,,,,,,,48.89568930002861,49.25914760003798,50.060188400093466,50.04327430005651,50.04371840006206,50.060188400093466,50.060188400093466,50.060188400093466,,52.42722730000969,right,0.0,2.3629977999953558,,52.427366900024936,52.4424880000297,52.92641300009564,52.94250970007852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,2.0,0.0,1.0,left,0.0,0.8011441000271589,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,52.94250970007852,,,,,,,,,52.926821000059135,53.74263110000175,54.54351890005637,54.52622870006599,54.5266853000503,54.54351890005637,54.54351890005637,54.54351890005637,,55.3608280000044,left,0.0,0.8011441000271589,,55.36095760005992,55.37587460002396,55.85987390007358,55.87591800000519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,3.0,1.0,1.0,right,0.0,1.8494916000636292,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,55.87591800000519,,,,,,,,,55.86068570008501,56.675969000090845,57.47690600005444,57.45994230010547,57.460394200054,57.47690600005444,57.47690600005444,57.47690600005444,,59.3273209000472,right,0.0,1.8494916000636292,,59.32751010009088,59.3428269000724,59.82643240003381,59.842603700002655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,4.0,0.0,2.0,left,0.0,2.87354239996057,,,,,,2.0,0.0,4.0,1.0,,,,,,,,,59.842603700002655,,,,,,,,,59.82692740007769,61.04262560000643,61.84361199999694,61.82671460008714,61.8271913001081,61.84361199999694,61.84361199999694,61.84361199999694,,64.72677690000273,left,0.0,2.87354239996057,,64.72686620010063,64.74268080003094,65.22646020003594,65.24265600007493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,5.0,1.0,2.0,left,1.0,3.264594300067984,,,,,,2.0,1.0,5.0,0.0,,,,,,,,,65.24265600007493,,,,,,,,,65.22684010001831,66.42633000004571,67.22686020005494,67.2099065000657,67.2103678000858,67.22686020005494,67.22686020005494,67.22686020005494,,70.49423420010135,left,1.0,3.264594300067984,,70.50520510005299,70.50910210004076,70.99334800010547,71.00945040001534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,6.0,0.0,3.0,right,1.0,3.969002499943599,,,,,,3.0,0.0,6.0,1.0,,,,,,,,,71.00945040001534,,,,,,,,,70.99374490010086,72.20964930008631,73.01041170000099,72.9935034000082,72.9940576000372,73.01041170000099,73.01041170000099,73.01041170000099,,76.99418820010033,right,1.0,3.969002499943599,,76.99433230003342,77.00939720007591,77.4934752000263,77.5095685000997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,7.0,1.0,3.0,left,1.0,3.393871699925512,,,,,,3.0,1.0,7.0,0.0,,,,,,,,,77.5095685000997,,,,,,,,,77.49399149999954,78.70971670001745,79.51018179999664,79.49357770010829,79.49402950005606,79.51018179999664,79.51018179999664,79.51018179999664,,82.91105290001724,left,1.0,3.393871699925512,,82.91118450008798,82.92607410007622,83.41017250006553,83.42625900008716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,8.0,0.0,4.0,left,1.0,3.867820499930531,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,83.42625900008716,,,,,,,,,83.41056700004265,84.22634030005429,85.02725680009462,85.0104290000163,85.01090670004487,85.02725680009462,85.02725680009462,85.02725680009462,,88.91085159999784,left,1.0,3.867820499930531,,88.91098020004574,88.92637860006653,89.41014420008287,89.42633490008302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,9.0,1.0,4.0,right,1.0,2.1142888999311253,,,,,,4.0,1.0,9.0,1.0,,,,,,,,,89.42633490008302,,,,,,,,,89.41055480006617,90.62653390003834,91.42739070008976,91.4103635000065,91.41092070005834,91.42739070008976,91.42739070008976,91.42739070008976,,93.544255200075,right,1.0,2.1142888999311253,,93.54438180010766,93.55963690008502,94.04364490008447,94.0597725000698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,10.0,0.0,5.0,left,1.0,5.789212199975736,,,,,,5.0,0.0,10.0,0.0,,,,,,,,,94.0597725000698,,,,,,,,,94.04401630000211,95.25989350001328,96.06084580009338,96.04391380003652,96.0443747000536,96.06084580009338,96.06084580009338,96.06084580009338,101.04424010007642,101.86090110009536,left,1.0,5.789212199975736,,101.86101420002524,101.8765019000275,102.36002930009272,102.37627440004144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,11.0,1.0,5.0,right,1.0,2.3428132999688387,,,,,,5.0,1.0,11.0,1.0,,,,,,,,,102.37627440004144,,,,,,,,,102.360379400081,103.17642380006146,103.97761650010943,103.96070190006868,103.9611825000029,103.97761650010943,103.97761650010943,103.97761650010943,,106.32805370003916,right,1.0,2.3428132999688387,,106.3281830000924,106.34296280005948,106.8271093000658,106.84324880002532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,12.0,0.0,6.0,left,1.0,1.9199339000042528,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,106.84324880002532,,,,,,,,,106.82747710007244,107.19305270002224,107.99365100008436,107.97700740001164,107.97745450004004,107.99365100008436,107.99365100008436,107.99365100008436,,109.92758490005508,left,1.0,1.9199339000042528,,109.9278067999985,109.94288700004108,110.42677730007564,110.44265630003063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,13.0,1.0,6.0,right,1.0,2.222288199933246,,,,,,6.0,1.0,13.0,1.0,,,,,,,,,110.44265630003063,,,,,,,,,110.42716670001391,110.7928249000106,111.59355190000495,111.57690450001974,111.57737940002698,111.59355190000495,111.59355190000495,111.59355190000495,,113.82789610000329,right,1.0,2.222288199933246,,113.82803120010068,113.84324430010749,114.32707730005497,114.34297250001693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,14.0,0.0,7.0,right,0.0,2.320035699987784,,,,,,7.0,0.0,14.0,0.0,,,,,,,,,114.34297250001693,,,,,,,,,114.3274443000555,114.44323200010696,115.24434130010196,115.22704820008948,115.22754069999792,115.24434130010196,115.24434130010196,115.24434130010196,,117.57856770011132,right,0.0,2.320035699987784,,117.58257420000156,117.59345790010411,118.07741640007588,118.09344800002872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,15.0,1.0,7.0,right,1.0,3.258667799993418,,,,,,7.0,1.0,15.0,1.0,,,,,,,,,118.09344800002872,,,,,,,,,118.07778990000952,118.19343800004572,118.99437190010212,118.97745570004918,118.97789249999914,118.99437190010212,118.99437190010212,118.99437190010212,,122.26158829999622,right,1.0,3.258667799993418,,122.26647610007784,122.27654840005562,122.76075360004324,122.7766711000586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,16.0,0.0,8.0,left,0.0,1.6157445000717416,,,,,,8.0,0.0,16.0,1.0,,,,,,,,,122.7766711000586,,,,,,,,,122.7613387000747,123.97676010010764,124.77769000001716,124.7605017001042,124.76097280008253,124.77769000001716,124.77769000001716,124.77769000001716,,126.39522810000926,left,0.0,1.6157445000717416,,126.39930879999883,126.4101749000838,126.89410860009956,126.91019290010443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,17.0,1.0,8.0,right,0.0,3.730226799962111,,,,,,8.0,1.0,17.0,0.0,,,,,,,,,126.91019290010443,,,,,,,,,126.8944997000508,127.0102603000123,127.81107690010684,127.79421130008996,127.79466890008187,127.81107690010684,127.81107690010684,127.81107690010684,,131.54473180009518,right,0.0,3.730226799962111,,131.54486220004037,131.56034680001903,132.04428770008963,132.06023000006098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,18.0,0.0,9.0,right,0.0,4.562560899998061,,,,,,9.0,0.0,18.0,0.0,,,,,,,,,132.06023000006098,,,,,,,,,132.0447105000494,132.16035570006352,132.96126680006273,132.94433270010632,132.94476240000222,132.96126680006273,132.96126680006273,132.96126680006273,,137.52891790005378,right,0.0,4.562560899998061,,137.52906570001505,137.5439364000922,138.02768900000956,138.04380800004583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,19.0,1.0,9.0,left,0.0,5.053589499904774,,,,,,9.0,1.0,19.0,1.0,,,,,,,,,138.04380800004583,,,,,,,,,138.02812860009726,139.24412010004744,140.0445651001064,140.02781340002548,140.02827300003264,140.0445651001064,140.0445651001064,140.0445651001064,145.02759020007215,145.11158910009544,left,0.0,5.053589499904774,,145.1117240000749,145.12715760001447,145.61121310002636,145.6272191000171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.6114262000192,145.6272191000171,145.6272191000171,158.39517950010486,space,12.75434760004282,,,,,,,,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.39527120010462,158.4106882000342,158.4106882000342,170.04491740011144,space,11.629722399986347,,,,,,,,,,,,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,0.0,0.0,0.0,left,0.0,5.601256199995987,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,179.72770990000572,,,,,,,,,179.72163810010534,180.92939970002044,181.7453782000812,181.7284139000112,181.728908100049,181.7453782000812,181.7453782000812,181.7453782000812,186.7287178999977,187.36241030006204,,,,,,,,,,,,,,,,,,,,,,,170.107459400082,170.11261960002594,170.11261960002594,179.71191360009834,space,9.594675899948925,,left,0.0,5.601256199995987,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,1.0,1.0,0.0,right,0.0,3.2774632999207824,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,187.3776898001088,,,,,,,,,187.3629080000101,188.57781000004616,189.3787497000303,189.3618852000218,189.3623584000161,189.3787497000303,189.3787497000303,189.3787497000303,,192.6630845000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,3.2774632999207824,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,2.0,0.0,1.0,left,1.0,4.329168200027198,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,192.67767730006017,,,,,,,,,192.66363080008887,193.47785050002855,194.27882930007763,194.2620957000181,194.26260950008876,194.27882930007763,194.27882930007763,194.27882930007763,,198.6126753001008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,4.329168200027198,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,3.0,1.0,1.0,right,1.0,5.310612100060098,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,198.6279443000676,,,,,,,,,198.61315170000307,198.97793819999788,199.7787414001068,199.7617152000312,199.76214190002065,199.7787414001068,199.7787414001068,199.7787414001068,204.7622088000644,205.09619200008456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,5.310612100060098,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,4.0,0.0,2.0,left,1.0,2.6625674000242725,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,205.1113522000378,,,,,,,,,205.0967228000518,205.91136990010276,206.71230710006785,206.69536930008329,206.69583760004025,206.71230710006785,206.71230710006785,206.71230710006785,,209.379494599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,2.6625674000242725,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,5.0,1.0,2.0,right,1.0,3.877133999951184,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,209.39467970002443,,,,,,,,,209.3800045000389,209.4948328000028,210.2955290999962,210.27865540003404,210.2791194000747,210.2955290999962,210.2955290999962,210.2955290999962,,214.1796406001085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,3.877133999951184,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,6.0,0.0,3.0,right,0.0,3.499843299970962,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,214.1947754001012,,,,,,,,,214.18011730001308,215.3947829999961,216.19571060000453,216.1790855000727,216.17994480009656,216.19571060000453,216.19571060000453,216.19571060000453,,219.69635560002644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,3.499843299970962,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,7.0,1.0,3.0,left,0.0,2.85999309993349,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,219.7115623001009,,,,,,,,,219.69693150010423,220.0615238000173,220.86241990001872,220.8455130000366,220.8459844000172,220.86241990001872,220.86241990001872,220.86241990001872,,223.72966220008675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,2.85999309993349,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,8.0,0.0,4.0,right,1.0,4.519915100070648,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,223.74487240007147,,,,,,,,,223.73057990008965,224.945050700102,225.74598620005415,225.7290297000436,225.72948290000204,225.74598620005415,225.74598620005415,225.74598620005415,,230.2799472000916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,4.519915100070648,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,9.0,1.0,4.0,left,1.0,2.0828374000266194,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,4.0,1.0,9.0,0.0,230.29512530006468,,,,,,,,,230.28056169999763,231.0951285000192,231.89599760004785,231.8788810000988,231.8793461000314,231.89599760004785,231.89599760004785,231.89599760004785,,233.97960489999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,2.0828374000266194,,,,,,sub-111,1,random_dot,60.09936828254399,
right,right,10.0,0.0,5.0,right,1.0,2.1250799999106675,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,10.0,1.0,233.99518270010597,,,,,,,,,233.98015560000204,234.09532660001423,234.89589100005105,234.87887970008887,234.879303200054,234.89589100005105,234.89589100005105,234.89589100005105,,237.03001139999836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,2.1250799999106675,,,,,,sub-111,1,random_dot,60.09936828254399,
left,left,11.0,1.0,5.0,left,1.0,3.3686146000400186,,accuracy,space,9.594675899948925,,,,,,0.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,237.0451621999964,,,,,,,,,237.03052910009865,237.145196700003,237.9458882000763,237.9287510000868,237.9292432001093,237.9458882000763,237.9458882000763,237.9458882000763,,241.3301576001104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,3.3686146000400186,,,,,,sub-111,1,random_dot,60.09936828254399,
