direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0120278999675065,0.015418299997691,0.015418299997691,25.260021900001448,space,43.17730029998347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,25.3370075999992,,,,,,,,,25.326388799992856,26.073979199980386,26.87472089997027,26.858667999971654,26.85870589996921,26.87472089997027,26.87472089997027,26.87472089997027,31.858355599979404,43.845268199977,left,0.0,34.888993000029586,,43.84873899997911,43.87184489995707,44.359284599951934,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,44.37578279996524,,,,,,,,,44.35996629996225,45.15894649998518,45.95942319999449,45.94374679995235,45.943783800001256,45.95942319999449,45.95942319999449,45.95942319999449,50.94353419996333,52.37949279998429,right,0.0,24.349484300008044,,52.38032469997415,52.393028099962976,52.877723299956415,52.89311079995241,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
left,left,,1.0,0.0,2.0,0.0,,,,,,,,,52.89311079995241,,,,,,,,,52.87831379997078,53.243045199953485,54.043685899989214,54.02774689998478,54.02778299996862,54.043685899989214,54.043685899989214,54.043685899989214,59.0275959999999,60.84655399998883,right,0.0,24.7310351000051,,60.84737400000449,60.860479999973904,61.34498870000243,61.36044859996764,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
right,right,,1.0,1.0,3.0,1.0,,,,,,,,,61.36044859996764,,,,,,,,,61.34570949996123,61.46037669997895,62.26143979997141,62.24537879996933,62.24541859998135,62.26143979997141,62.26143979997141,62.26143979997141,67.24503259995254,68.81399589998182,right,1.0,24.482255799986888,,68.81483699998353,68.83154980000108,69.32819339999696,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,69.34451719996287,,,,,,,,,69.32887450000271,70.5280668999767,71.32885299995542,71.31267529999604,71.31271209998522,71.32885299995542,71.32885299995542,71.32885299995542,,72.51410199998645,left,1.0,19.115505400055557,,72.51493609999306,72.52822059998289,73.0129287999589,73.02805639995495,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,73.02805639995495,,,,,,,,,73.01352029998088,73.12831229995936,73.9290398999583,73.9128844999941,73.91292249999242,73.9290398999583,73.9290398999583,73.9290398999583,,75.16488509997725,right,1.0,19.16919450002024,,75.16569279995747,75.1785416000057,75.66307549999328,75.67844150000019,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,75.67844150000019,,,,,,,,,75.66376939998008,76.0285167999682,76.82917119999183,76.81332049996126,76.81335879996186,76.82917119999183,76.82917119999183,76.82917119999183,,78.66486590000568,left,0.0,19.76553390000481,,78.66571329999715,78.67860389995622,79.16327919997275,79.17889029998332,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,79.17889029998332,,,,,,,,,79.16390729998238,79.27889159996994,80.07959839998512,80.0636199999717,80.0636608999921,80.07959839998512,80.07959839998512,80.07959839998512,,82.6320257000043,left,1.0,20.471383500029333,,82.63287829997716,82.64578589994926,83.13033449999057,83.14584849996027,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,83.14584849996027,,,,,,,,,83.13100069999928,83.49598750000587,84.29667879996123,84.2803847999894,84.28042209998239,84.29667879996123,84.29667879996123,84.29667879996123,,88.28238459996646,right,1.0,21.915385100001004,,88.28316979994997,88.29612529999577,88.78094749996671,88.79621749999933,,,,,,,,,,,,,,,,,,,,,,,,,,sub-039,1.0,random_dot,60.14227255806711,
