direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0063692,0.0113118,0.0113118,35.2239593,space,65.6712629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
right,right,,0,0,0,1,,,,,,,,,35.2468651,,,,,,,,,35.2435154,36.0349426,36.8514472,36.8197641,36.8198261,36.8514472,36.8514472,36.8514472,41.8354559,50.1214371,right,1,43.7267472,None,50.124301,50.1414432,50.6343892,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
left,left,,0,1,1,0,,,,,,,,,50.6512985,,,,,,,,,50.6354264,50.9846476,51.7847988,51.7689587,51.7690052,51.7847988,51.7847988,51.7847988,,55.005132,left,1,33.6787828,None,55.0069436,55.0177318,55.5027802,55.517917,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
right,right,,1,0,2,1,,,,,,,,,55.517917,,,,,,,,,55.5038688,56.3176826,57.1182362,57.1025582,57.1026157,57.1182362,57.1182362,57.1182362,,58.2524187,right,1,31.5813223,None,58.2532468,58.2672245,58.7523407,58.767447,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
left,left,,1,1,3,0,,,,,,,,,58.767447,,,,,,,,,58.7532145,59.9671746,60.7679779,60.7523456,60.7524019,60.7679779,60.7679779,60.7679779,,63.5530597,left,1,33.2404738,None,63.5540505,63.56697,64.0523902,64.0670803,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
right,right,,2,0,4,1,,,,,,,,,64.0670803,,,,,,,,,64.0534644,64.1673609,64.9675023,64.9515244,64.9516191,64.9675023,64.9675023,64.9675023,,67.0201942,right,1,32.5077205,None,67.0212143,67.0334695,67.5186231,67.5338126,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
left,left,,2,1,5,0,,,,,,,,,67.5338126,,,,,,,,,67.5195509,67.633528,68.4339981,68.4177806,68.4178293,68.4339981,68.4339981,68.4339981,,70.552018,left,1,32.5773253,None,70.5528471,70.566637,71.0517655,71.0669845,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
left,left,,3,0,6,0,,,,,,,,,71.0669845,,,,,,,,,71.0526529,71.4170923,72.2171102,72.2016479,72.201691,72.2171102,72.2171102,72.2171102,,74.3185388,right,0,32.5515101,None,74.3193635,74.3327356,74.818291,74.8333598,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
right,right,,3,1,7,1,,,,,,,,,74.8333598,,,,,,,,,74.8193272,76.0329843,76.8334527,76.817937,76.8180702,76.8334527,76.8334527,76.8334527,,79.4853622,right,1,33.1061648,None,79.4863644,79.4992235,79.9841285,79.9995208,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
left,left,,4,0,8,0,,,,,,,,,79.9995208,,,,,,,,,79.9850465,80.099842,80.8999551,80.8843768,80.8844343,80.8999551,80.8999551,80.8999551,,84.8364029,left,1,34.3955921,None,84.8381629,84.8490475,85.3340825,85.3493381,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
right,right,,4,1,9,1,,,,,,,,,85.3493381,,,,,,,,,85.3350414,85.6991169,86.5001202,86.484602,86.4846512,86.5001202,86.5001202,86.5001202,,90.6516029,right,1,34.5994748,None,90.6523468,90.6656249,91.1512312,91.1656412,,,,,,,,,,,,,,,,,,,,,,,,,,sub-009,1,2025-03-13_13h35.53.489,random_dot,03.02.2023,60.10955566,2025-03-13 13h36.17.225042 +0100
