direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
,,,,,,,,,,,,,,,,,0.0148579999804496,0.0191014000447466,0.0191014000447466,60.82865000003949,space,77.83383160002995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
left,left,,0.0,0.0,0.0,0.0,,,,,,,,,60.865423100069165,,,,,,,,,60.86198769998737,61.64244199998211,62.44288059999235,62.42646149999928,62.426482500042766,62.44288059999235,62.44288059999235,62.44288059999235,63.82773450005334,left,1.0,18.40802239999175,,63.83060920005664,63.84485360002145,64.34289550001267,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
right,right,,0.0,1.0,1.0,1.0,,,,,,,,,64.35920279996935,,,,,,,,,64.34334500005934,64.44259960006457,65.24305699998513,65.2261739000678,65.22620330005884,65.24305699998513,65.24305699998513,65.24305699998513,66.99420209997334,left,0.0,18.7711359000532,,66.99476669996511,67.00897560000885,67.49322790000588,67.50927290006075,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,67.50927290006075,,,,,,,,,67.49358240002766,68.30898059997708,69.10971690004226,69.09366510005202,69.09369250002783,69.10971690004226,69.10971690004226,69.10971690004226,70.0607971000718,right,1.0,17.970802099909633,,70.0613769000629,70.0756626999937,70.55966799997259,70.57564359996468,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,70.57564359996468,,,,,,,,,70.56012510007713,70.6759237999795,71.47587720002048,71.45964080002159,71.45966719998978,71.47587720002048,71.47587720002048,71.47587720002048,72.39399250003044,left,1.0,17.941921600024216,,72.39465330005623,72.4090070000384,72.89314020005986,72.9088946999982,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
right,right,,2.0,0.0,4.0,1.0,,,,,,,,,72.9088946999982,,,,,,,,,72.89354900002945,73.25923299998976,74.06005209998693,74.04327909997664,74.04330889997073,74.06005209998693,74.06005209998693,74.06005209998693,74.96000640001148,right,1.0,17.912755299941637,,74.96057460003067,74.97551280003972,75.46018539997749,75.47557380003855,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
left,left,,2.0,1.0,5.0,0.0,,,,,,,,,75.47557380003855,,,,,,,,,75.46061479998752,75.82549279998057,76.62675880000461,76.61004349996801,76.6100702000549,76.62675880000461,76.62675880000461,76.62675880000461,78.01046250003856,left,1.0,18.397372599923983,,78.01110650005285,78.02590410003904,78.50994250003714,78.52597780001815,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,78.52597780001815,,,,,,,,,78.51041820005048,79.32556620007381,80.12611960002687,80.10987070004921,80.10990070004482,80.12611960002687,80.12611960002687,80.12611960002687,80.86067850003019,right,1.0,17.756476799957454,,80.86139890004415,80.87566380004864,81.35939920006786,81.37573059997521,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,81.37573059997521,,,,,,,,,81.35981599998195,81.47599810000975,82.27633740007877,82.26017000002321,82.2601937999716,82.27633740007877,82.27633740007877,82.27633740007877,83.34393119998276,left,1.0,18.077687800046988,,83.34461280005053,83.35914980003145,83.84315400000196,83.85952709999401,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,83.85952709999401,,,,,,,,,83.84361930005252,85.05911729997024,85.85964090004563,85.84327900002245,85.84330539999064,85.85964090004563,85.85964090004563,85.85964090004563,87.36095100000966,left,1.0,18.512792199966498,,87.3614875000203,87.37579129997175,87.85966339998413,87.8761679000454,,,,,,,,,,,,,,,,,,,,,,,,,,sub-172,1.0,random_dot,60.16687885108824,
