direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 74
,,,,,,,,,,,,,,,,,0.0403705999488011,0.0496999999741092,0.0496999999741092,28.798110599978827,space,65.96658440015744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,28.853632999933325,,,,,,,,,28.847724299994297,29.606156099936925,30.40977159992326,30.390604199958037,30.39063789998181,30.40977159992326,30.40977159992326,30.40977159992326,31.692755999974903,left,0.0,38.504205300007015,,31.69409019988961,31.717968599987216,32.2064151999075,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,32.22292089997791,,,,,,,,,32.207256999914534,32.556061599985696,33.35662619990762,33.34083249990363,33.34088609996252,33.35662619990762,33.35662619990762,33.35662619990762,34.22524139995221,left,1.0,38.09421510016546,,34.22613589989487,34.24508179991972,34.73969399998896,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,34.75606279994827,,,,,,,,,34.74038709991146,35.93991799990181,36.73989059997257,36.72377149993554,36.72380889998749,36.73989059997257,36.73989059997257,36.73989059997257,38.14227169996593,right,1.0,38.62588140007574,,38.1433045999147,38.15624239994213,38.64080269995611,38.65636749996338,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,38.65636749996338,,,,,,,,,38.64158899988979,39.456224099965766,40.25652119994629,40.24083379993681,40.24087869992945,40.25652119994629,40.25652119994629,40.25652119994629,41.09154899988789,left,1.0,38.06122460018378,,41.09251829993445,41.10632799996529,41.590495099895634,41.60633199999575,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,41.60633199999575,,,,,,,,,41.59134189994074,42.80593559995759,43.60649549996015,43.59083809994627,43.59087589988485,43.60649549996015,43.60649549996015,43.60649549996015,45.458762699970976,right,0.0,39.08435340016149,,45.459743899991736,45.47296759998426,45.95722869993188,45.97276689996943,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,45.97276689996943,,,,,,,,,45.95830809988547,46.07356849999633,46.8731968998909,46.85743939992972,46.85747199994512,46.8731968998909,46.8731968998909,46.8731968998909,50.52516989992,left,0.0,40.88062430010177,,50.52601539995521,50.53933459997643,51.024262899998575,51.03944009996485,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
right,right,,3.0,0.0,6.0,1.0,,,,,,,,,51.03944009996485,,,,,,,,,51.024917599977925,51.139556099893525,51.939973399974406,51.92427539988421,51.92431499995291,51.939973399974406,51.939973399974406,51.939973399974406,52.975864699925296,right,1.0,38.25672440009657,,52.97684809996281,52.98946069995873,53.47374539996963,53.48960659990553,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
left,left,,3.0,1.0,7.0,0.0,,,,,,,,,53.48960659990553,,,,,,,,,53.47438939998392,53.589359599980526,54.39059569989331,54.37424099992495,54.374273199937306,54.39059569989331,54.39059569989331,54.39059569989331,56.44189929997083,right,0.0,39.28216790012084,,56.44289479998406,56.456120699993335,56.94033159990795,56.9559789999621,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
right,right,,4.0,0.0,8.0,1.0,,,,,,,,,56.9559789999621,,,,,,,,,56.94113049993757,57.306560099939816,58.10645619989373,58.09044179995544,58.09047379996628,58.10645619989373,58.10645619989373,58.10645619989373,59.25837919989135,right,1.0,38.373533100122586,,59.25927719997708,59.27264319988899,59.757529499940574,59.77305099996738,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-099,1.0,random_dot,60.34074414961158,
