direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 87
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017793999995774,0.0046321999998326,0.0046321999998326,18.90939140000046,space,18.88714919999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
right,right,0.0,0.0,0.0,right,1.0,5.487385999998878,,,,,,0.0,0.0,0.0,1.0,,,,,,,,,18.92107769999893,,,,,,,,,18.91817470000024,19.7215412000005,20.535751600000367,20.505448899999465,20.50640410000051,20.535751600000367,20.535751600000367,20.535751600000367,25.52067279999937,26.038735500000257,right,1.0,5.487385999998878,,26.056865700000344,26.061854100000343,26.55424089999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,1.0,1.0,0.0,left,1.0,2.3391212000005908,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,26.57044599999972,,,,,,,,,26.554974599999696,26.65384780000022,27.454630799998995,27.43767189999926,27.43852189999961,27.454630799998995,27.454630799998995,27.454630799998995,,29.80529960000058,left,1.0,2.3391212000005908,,29.805609999999437,29.820161100000405,30.304340999999116,30.31996260000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
right,right,2.0,0.0,1.0,right,1.0,2.772401299998819,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,30.31996260000051,,,,,,,,,30.30509750000056,30.42007999999987,31.22097079999912,31.20380490000025,31.20471729999917,31.22097079999912,31.22097079999912,31.22097079999912,,34.00409839999884,right,1.0,2.772401299998819,,34.004268599999705,34.01943869999923,34.503684400000566,34.51960440000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,3.0,1.0,1.0,right,0.0,2.854306700000961,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,34.51960440000039,,,,,,,,,34.50447879999956,34.619488599999386,35.42042129999936,35.40340929999911,35.40433099999973,35.42042129999936,35.42042129999936,35.42042129999936,,38.28593120000005,right,0.0,2.854306700000961,,38.30162569999993,38.30638279999948,38.8020147999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,4.0,0.0,2.0,left,1.0,1.1101886999986164,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,38.81795509999938,,,,,,,,,38.80292809999992,40.00152229999912,40.80162199999904,40.78507809999974,40.7860254999996,40.80162199999904,40.80162199999904,40.80162199999904,,41.91841199999908,left,1.0,1.1101886999986164,,41.923721600000135,41.934185300000536,42.418082700000014,42.43430459999945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
right,right,5.0,1.0,2.0,left,0.0,2.480987400000231,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,42.43430459999945,,,,,,,,,42.41884240000036,42.51768489999995,43.31810099999893,43.30169620000015,43.30273639999905,43.31810099999893,43.31810099999893,43.31810099999893,,45.80189479999899,left,0.0,2.480987400000231,,45.80925629999911,45.81721859999925,46.30160309999883,46.31757499999912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,6.0,0.0,3.0,right,0.0,1.935098400001152,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,46.31757499999912,,,,,,,,,46.30233729999964,46.41770419999921,47.21843529999933,47.20159760000024,47.20250049999959,47.21843529999933,47.21843529999933,47.21843529999933,,49.169666300000245,right,0.0,1.935098400001152,,49.169968099999096,49.18444789999921,49.66854269999931,49.684331099999326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
right,right,7.0,1.0,3.0,left,0.0,2.1166197000002285,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,49.684331099999326,,,,,,,,,49.66955459999917,50.48417460000019,51.2851200999994,51.26821699999891,51.26910870000029,51.2851200999994,51.2851200999994,51.2851200999994,,53.418063600000096,left,0.0,2.1166197000002285,,53.41821689999961,53.43318550000004,53.917758600000525,53.93380419999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
right,right,8.0,0.0,4.0,right,1.0,2.23446690000128,,,,,,4.0,0.0,8.0,1.0,,,,,,,,,53.93380419999994,,,,,,,,,53.918506300000445,54.28338669999903,55.08372260000033,55.066301900000326,55.06659059999947,55.08372260000033,55.08372260000033,55.08372260000033,,57.33470630000011,right,1.0,2.23446690000128,,57.34253799999897,57.34959159999926,57.83274729999903,57.84903420000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,9.0,1.0,4.0,right,0.0,1.4121782000001986,,,,,,4.0,1.0,9.0,0.0,,,,,,,,,57.84903420000046,,,,,,,,,57.83301930000016,59.04963850000058,59.85058889999891,59.8335289000006,59.83432679999896,59.85058889999891,59.85058889999891,59.85058889999891,,61.26756709999973,right,0.0,1.4121782000001986,,61.27590919999966,61.28245219999917,61.7668948999999,61.78282649999892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
right,right,10.0,0.0,5.0,right,1.0,1.7017176000008476,,,,,,5.0,0.0,10.0,1.0,,,,,,,,,61.78282649999892,,,,,,,,,61.767633399998886,62.582726900000125,63.3835366000003,63.36666069999956,63.36754579999979,63.3835366000003,63.3835366000003,63.3835366000003,,65.10039979999965,right,1.0,1.7017176000008476,,65.10582849999992,65.11537589999898,65.5998682999998,65.61530420000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,11.0,1.0,5.0,left,1.0,0.9973569000012504,,,,,,5.0,1.0,11.0,0.0,,,,,,,,,65.61530420000054,,,,,,,,,65.60089789999984,65.96559119999984,66.76642460000039,66.74971189999997,66.75072829999954,66.76642460000039,66.76642460000039,66.76642460000039,,67.76736170000004,left,1.0,0.9973569000012504,,67.76780289999988,67.78213169999981,68.26605539999946,68.28205979999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,12.0,0.0,6.0,right,0.0,1.808821900000112,,,,,,6.0,0.0,12.0,0.0,,,,,,,,,68.28205979999984,,,,,,,,,68.26680039999883,69.08188179999888,69.88278270000046,69.86582330000056,69.86677059999965,69.88278270000046,69.88278270000046,69.88278270000046,,71.69983019999927,right,0.0,1.808821900000112,,71.70542980000027,71.71447479999915,72.19871289999901,72.21466979999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
right,right,13.0,1.0,6.0,left,0.0,0.799329299999954,,,,,,6.0,1.0,13.0,1.0,,,,,,,,,72.21466979999968,,,,,,,,,72.19935479999913,72.56478059999972,73.36560449999888,73.3485426999996,73.34945049999988,73.36560449999888,73.36560449999888,73.36560449999888,,74.18125589999909,left,0.0,0.799329299999954,,74.18132849999893,74.19682459999967,74.68152410000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
right,right,14.0,0.0,7.0,right,1.0,1.3168702999992092,,,,,,7.0,0.0,14.0,1.0,,,,,,,,,74.6978493000006,,,,,,,,,74.6823715999999,74.78118080000058,75.58194589999948,75.56507659999988,75.56599900000037,75.58194589999948,75.58194589999948,75.58194589999948,,76.91461159999926,right,1.0,1.3168702999992092,,76.9216381999995,76.92951790000006,77.41377789999933,77.42974080000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,15.0,1.0,7.0,left,1.0,2.5492923999991035,,,,,,7.0,1.0,15.0,0.0,,,,,,,,,77.42974080000022,,,,,,,,,77.41455039999892,77.52980410000055,78.33023180000055,78.31376549999914,78.31477669999913,78.33023180000055,78.33023180000055,78.33023180000055,,80.88118380000014,left,1.0,2.5492923999991035,,80.8814610999998,80.89602689999992,81.38031140000021,81.39630360000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
left,left,16.0,0.0,8.0,right,0.0,1.8012586000004376,,,,,,8.0,0.0,16.0,0.0,,,,,,,,,81.39630360000046,,,,,,,,,81.38110880000022,82.5964125999999,83.39723009999943,83.3804500999995,83.38137529999949,83.39723009999943,83.39723009999943,83.39723009999943,,85.2154673999994,right,0.0,1.8012586000004376,,85.2255198999992,85.23122700000022,85.7299194999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-041,1,random_dot,59.93798815734868,
