direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 72
,,,,,,,,,,,,,,,,,0.0052533000125549,0.0105283000157214,0.0105283000157214,1.735410200024489,space,25.794431699963752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,0.0,0.0,0.0,1.0,,,,,,,,,1.7605862999917008,,,,,,,,,1.7566129000042563,2.0984127999981865,2.909609799971804,2.882484400004614,2.8825498999794945,2.909609799971804,2.909609799971804,2.909609799971804,4.033017900015693,right,1.0,25.19084559992189,,4.035145599977113,4.058979400026146,4.546422699990217,,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,0.0,1.0,1.0,0.0,,,,,,,,,4.562961600022391,,,,,,,,,4.547607499989681,4.6459889999823645,5.446307700010948,5.430253099999391,5.430322900007013,5.446307700010948,5.446307700010948,5.446307700010948,6.247718399972655,left,1.0,24.881170699954964,,6.249225499981549,6.261307200009469,6.745945899980143,6.760853899992071,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,1.0,0.0,2.0,1.0,,,,,,,,,6.760853899992071,,,,,,,,,6.747152500029188,7.559913599980064,8.360414499999024,8.344359999988228,8.344420599984005,8.360414499999024,8.360414499999024,8.360414499999024,9.761638200026937,left,0.0,25.475551799987443,,9.76336129999254,9.784928500012027,10.274098000023514,,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,1.0,1.0,3.0,0.0,,,,,,,,,10.290596399980132,,,,,,,,,10.275097600009758,11.473395299981348,12.289988600008655,12.27380510000512,12.273866800009271,12.289988600008655,12.289988600008655,12.289988600008655,13.141778899997009,left,1.0,24.923453599971253,,13.143476299999747,13.158845000027211,13.65476479998324,,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,2.0,0.0,4.0,0.0,,,,,,,,,13.671003199997358,,,,,,,,,13.65594049997162,13.754331299976911,14.57061320001958,14.553812599973751,14.553846800001338,14.57061320001958,14.57061320001958,14.57061320001958,15.40578580001602,right,0.0,24.903026999963917,,15.407318099983968,15.421426600019911,15.919140000012703,,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,2.0,1.0,5.0,1.0,,,,,,,,,15.935544300009497,,,,,,,,,15.920363600016572,16.0189560999861,16.83551920001628,16.81959560001269,16.819671800010838,16.83551920001628,16.83551920001628,16.83551920001628,18.184719900018536,right,1.0,25.42651919997297,,18.18514439999126,18.199554199993145,18.68342830002075,18.699162399978377,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,3.0,0.0,6.0,0.0,,,,,,,,,18.699162399978377,,,,,,,,,18.68408289999934,19.048820300027728,19.84916199999861,19.83228939998662,19.8323218000005,19.84916199999861,19.84916199999861,19.84916199999861,20.8338549999753,left,1.0,25.06645129993558,,20.835181700007524,20.847339699976143,21.33074619999388,21.34647150000092,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,3.0,1.0,7.0,1.0,,,,,,,,,21.34647150000092,,,,,,,,,21.331355699978303,21.696193300012965,22.496708300022878,22.4804403000162,22.480480599973816,22.496708300022878,22.496708300022878,22.496708300022878,23.131601699977185,right,1.0,24.71433300001081,,23.13266439997824,23.145252600021195,23.629775699984748,23.645130100019745,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,4.0,0.0,8.0,0.0,,,,,,,,,23.645130100019745,,,,,,,,,23.6309299999848,24.84374719997868,25.64396770001622,25.62781500001438,25.627875300007872,25.64396770001622,25.64396770001622,25.64396770001622,26.34448770002928,left,1.0,24.778619299991988,,26.34541629999876,26.35870450001676,26.842986900010143,26.85860670002876,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,4.0,1.0,9.0,1.0,,,,,,,,,26.85860670002876,,,,,,,,,26.843871199991558,26.95879790000617,27.758916800026785,27.74280110001564,27.7428650999791,27.758916800026785,27.758916800026785,27.758916800026785,28.45902870001737,right,1.0,24.775739699951373,,28.459887099976186,28.47336740000173,28.957987900008447,28.97312849998707,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,5.0,0.0,10.0,0.0,,,,,,,,,28.97312849998707,,,,,,,,,28.95911960001104,29.772743800014723,30.589396200026385,30.573356200009584,30.573419000022117,30.589396200026385,30.589396200026385,30.589396200026385,31.241435899981298,left,1.0,24.73230299999705,,31.242859999998476,31.254747200000565,31.754063799977303,,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,5.0,1.0,11.0,1.0,,,,,,,,,31.770474800025116,,,,,,,,,31.75467350002145,31.85407689999556,32.65411599999061,32.638129199971445,32.63820180000039,32.65411599999061,32.65411599999061,32.65411599999061,33.42260049999459,right,1.0,24.84762979997322,,33.42402959999163,33.436048200004734,33.92014020000352,33.935484000016004,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,6.0,0.0,12.0,1.0,,,,,,,,,33.935484000016004,,,,,,,,,33.9213128000265,34.035253199981526,34.835487900010776,34.81953729997622,34.81959899998037,34.835487900010776,34.835487900010776,34.835487900010776,35.73710630001733,right,1.0,24.983729199972004,,35.73854059999576,35.7502043999848,36.23359120002715,36.24944109999342,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,6.0,1.0,13.0,0.0,,,,,,,,,36.24944109999342,,,,,,,,,36.23420349997468,36.59965930000181,37.416597999981605,37.40024839999387,37.400310299999546,37.416597999981605,37.416597999981605,37.416597999981605,38.068001899984665,left,1.0,24.730381799978204,,38.06951210001717,38.08151629997883,38.564837599988095,38.58066550001968,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,7.0,0.0,14.0,1.0,,,,,,,,,38.58066550001968,,,,,,,,,38.56546299997717,39.78025349997915,40.58025539998198,40.5640671000001,40.5641318000271,40.58025539998198,40.58025539998198,40.58025539998198,41.29851839999901,right,1.0,24.801085799990688,,41.29957500001183,41.31147979997331,41.79606750002131,41.81156970001757,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,7.0,1.0,15.0,0.0,,,,,,,,,41.81156970001757,,,,,,,,,41.79723249998642,42.16117580002174,42.96121879998827,42.94511349999812,42.945175600005314,42.96121879998827,42.96121879998827,42.96121879998827,43.61082090000855,left,1.0,24.72821449994808,,43.61122919997433,43.625671899993904,44.11058709997451,44.12578190001659,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
right,right,,8.0,0.0,16.0,1.0,,,,,,,,,44.12578190001659,,,,,,,,,44.111715400009416,44.92478980001761,45.72520440001972,45.70902770000976,45.70908870000858,45.72520440001972,45.72520440001972,45.72520440001972,46.56076889997348,left,0.0,24.91405089996988,,46.56222369999159,46.576885699993,47.07349260000046,,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,8.0,1.0,17.0,0.0,,,,,,,,,47.08967070002109,,,,,,,,,47.07469600002514,47.17285259999335,47.97331390000181,47.95691359997727,47.95697619998828,47.97331390000181,47.97331390000181,47.97331390000181,48.54065169999376,right,0.0,24.65032809996046,,48.5415366999805,48.55473929998698,49.03937900002347,49.05465760000516,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
left,left,,9.0,0.0,18.0,0.0,,,,,,,,,49.05465760000516,,,,,,,,,49.04053639998892,50.25351519999094,51.05364779999945,51.037521000020206,51.03758210001979,51.05364779999945,51.05364779999945,51.05364779999945,51.889533700014,left,1.0,24.9179720999673,,51.89118239999516,51.908020699978806,52.4010495999828,,,,,,,,,,,,,,,,,,,,,,,,,,sub-104,3.0,random_dot,59.87654654429384,
