direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 88
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0106842339955619,0.0342601979937171,0.0342601979937171,1.6154560249997303,space,1.443463294999674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
left,left,0.0,0.0,0.0,left,1.0,1.726184949002345,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,1.6598040379976735,,,,,,,,,1.6430260209963308,2.8143720119987847,3.623494716994173,3.6047701249990496,3.6053254669968737,3.623494716994173,3.623494716994173,3.623494716994173,5.360527075994469,left,1.0,1.726184949002345,,5.366641135995451,5.406647557996621,5.861514765994798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
right,right,1.0,1.0,0.0,left,0.0,0.7626424640038749,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,5.871063977996528,,,,,,,,,5.862142118996417,5.954375176996109,6.746966286998941,6.7380227129979176,6.738542046994553,6.746966286998941,6.746966286998941,6.746966286998941,7.515406776998134,left,0.0,0.7626424640038749,,7.519790510996245,7.533375937993696,8.021241276997898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
right,right,2.0,0.0,1.0,right,1.0,0.6511196589999599,,,,,,1.0,0.0,2.0,1.0,,,,,,,,,8.027979626996967,,,,,,,,,8.021715014998335,8.361220721999416,9.15449423300015,9.144905011999072,9.145489461996476,9.15449423300015,9.15449423300015,9.15449423300015,9.809921105996182,right,1.0,0.6511196589999599,,9.811761845994624,9.821167041998706,10.304664516996128,10.311327446994255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
left,left,3.0,1.0,1.0,right,0.0,0.8574020289961481,,,,,,1.0,1.0,3.0,0.0,,,,,,,,,10.311327446994255,,,,,,,,,10.30510504099948,10.404326159994524,11.196997355000349,11.18794303699542,11.188461024998103,11.196997355000349,11.196997355000349,11.196997355000349,12.056851914996514,right,0.0,0.8574020289961481,,12.059126381995156,12.06957527600025,12.554617183996015,12.561278455999854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
left,left,4.0,0.0,2.0,left,1.0,0.7262919069980853,,,,,,2.0,0.0,4.0,0.0,,,,,,,,,12.561278455999854,,,,,,,,,12.555061690996808,13.75424905699765,14.54697679799574,14.537925157994325,14.53844335499889,14.54697679799574,14.54697679799574,14.54697679799574,15.282653262998792,left,1.0,0.7262919069980853,,15.285476666998877,15.294089947994507,15.778786574999684,15.787840893994144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
right,right,5.0,1.0,2.0,left,0.0,0.7626896069996292,,,,,,2.0,1.0,5.0,1.0,,,,,,,,,15.787840893994144,,,,,,,,,15.7793551989962,16.97739760299737,17.771454719993926,17.761003649000486,17.761592819995712,17.771454719993926,17.771454719993926,17.771454719993926,18.54383514899382,left,0.0,0.7626896069996292,,18.546094504999928,18.554108448995976,19.03788203899603,19.044569457997568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
left,left,6.0,0.0,3.0,left,1.0,1.921838785005093,,,,,,3.0,0.0,6.0,0.0,,,,,,,,,19.044569457997568,,,,,,,,,19.03832494100061,19.137570222999784,19.930187785997987,19.9212011579948,19.92172026499611,19.930187785997987,19.930187785997987,19.930187785997987,21.859190405994013,left,1.0,1.921838785005093,,21.86166689599486,21.872000923998712,22.361220921993663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
right,right,7.0,1.0,3.0,right,1.0,2.3909543520057923,,,,,,3.0,1.0,7.0,1.0,,,,,,,,,22.37081314299576,,,,,,,,,22.361826353997458,22.70415920099913,23.496841740998207,23.4878088589976,23.488322900993808,23.496841740998207,23.496841740998207,23.496841740998207,25.88912369899481,right,1.0,2.3909543520057923,,25.889209460998245,25.89603736799472,26.38775198899384,26.394503990995872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
left,left,8.0,0.0,4.0,left,1.0,0.7816574140015291,,,,,,4.0,0.0,8.0,0.0,,,,,,,,,26.394503990995872,,,,,,,,,26.388192508995417,27.587265340996964,28.380063093994977,28.37102275899815,28.37153553799726,28.380063093994977,28.380063093994977,28.380063093994977,29.16374460699444,left,1.0,0.7816574140015291,,29.163830736993987,29.170541363993834,29.654310139994777,29.661056432996705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-209,1,random_dot,85.51441629168541,
