thisN,thisTrialN,thisRepN,trialType,stimOri,isPresent,corrKey,frames,prac_detect_key.keys,prac_detect_key.corr,prac_detect_key.rt,prac_detect_key.duration,block,imagineOri,instrText,trialFilesImg,grtEx,trialInBlock,vivid_resp.keys,vivid_resp.rt,vivid_resp.duration,detectOri,trialFile,vividText,imgFileMI,imgFileDE,imagOri,present,visCode,visLevel,finalVis,correctKey,main_detect_key.keys,main_detect_key.corr,main_detect_key.rt,main_detect_key.duration,block_compliance_key.keys,block_compliance_key.rt,block_compliance_key.duration,main_vivid_key.keys,main_vivid_key.rt,main_vivid_key.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_prac_trials.thisRepN,loop_prac_trials.thisTrialN,loop_prac_trials.thisN,loop_prac_trials.thisIndex,imgBlockLoop.thisRepN,imgBlockLoop.thisTrialN,imgBlockLoop.thisN,imgBlockLoop.thisIndex,img_trial_loop.thisRepN,img_trial_loop.thisTrialN,img_trial_loop.thisN,img_trial_loop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,consent_1.started,consent_txt.started,consent_1.stopped,consent_2.started,consent2_txt.started,consent_2.stopped,welcome.started,welcome_txt.started,example_img.started,welcome.stopped,practice_instructions.started,practice_instructions.stopped,fixation_cross.started,fixation_cross.stopped,practice_stimulus.started,practice_stim_img.started,practice_stimulus.stopped,practice_detect.started,prac_detect_txt.started,prac_detect_key.started,practice_detect.stopped,resp,correct,loop_prac_trials.prac_detect_key.keys,loop_prac_trials.prac_detect_key.corr,loop_prac_trials.prac_detect_key.rt,loop_prac_trials.prac_detect_key.duration,fix_cross.started,fix_cross.stopped,practice_stim_img.stopped,practice_detect_feedback.started,practice_feedback_txt.started,practice_detect_feedback.stopped,loop_practice.practice_feedback_key.keys,loop_practice.practice_feedback_key.rt,loop_practice.practice_feedback_key.duration,imagery_practice_instructions.started,imagery_practice_txt.started,imagery_practice_instructions.stopped,imagery_practice_block_instructions.started,imagery_prac_block_instruction_txt.started,imagery_prac_block_instruction_continue_txt.started,imagery_prac_grating_example_img.started,imagery_practice_block_instructions.stopped,practice_imagery_stimulus.started,imagery_prac_stim_img.started,practice_imagery_stimulus.stopped,practice_vivid_rating.started,vivid_rating.started,vivid_resp.started,practice_vivid_rating.stopped,img_trial_loop.vivid_resp.keys,img_trial_loop.vivid_resp.rt,img_trial_loop.vivid_resp.duration,imagery_prac_stim_img.stopped,main_instructions.started,main_instruction_txt.started,main_instructions.stopped,block_instruction.started,main_block_continue_txt.started,main_block_detect_img.started,main_block_imagine_img.started,block_instruction.stopped,main_stimulus.started,main_img.started,main_stimulus.stopped,frames_len,frames_first,frames_last,main_detection.started,main_detect_txt.started,main_detect_key.started,main_detection.stopped,trialLoop.main_detect_key.keys,trialLoop.main_detect_key.corr,trialLoop.main_detect_key.rt,trialLoop.main_detect_key.duration,main_img.stopped,block_compliance_check.started,block_compliance_txt.started,block_compliance_key.started,block_compliance_check.stopped,blockLoop.block_compliance_key.keys,blockLoop.block_compliance_key.rt,blockLoop.block_compliance_key.duration,block_vividness_rating.started,main_vivid_txt.started,main_vivid_key.started,block_vividness_rating.stopped,blockLoop.main_vivid_key.keys,blockLoop.main_vivid_key.rt,blockLoop.main_vivid_key.duration,main_vivid_txt.stopped,main_vivid_key.stopped,subj_question.started,subj_question_txt.started,subj_question_key.started,subj_question.stopped,subj_question_key.keys,subj_question_key.rt,subj_question_key.duration,goodbye_txt.started,end_txt.started,goodbye_txt.stopped,participant
30,30,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_3.png', 'img/stim_1_vis_5.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_8.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_14.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_23.png', 'img/stim_1_vis_25.png', 'img/stim_1_vis_27.png', 'img/stim_1_vis_29.png', 'img/stim_1_vis_30.png', 'img/stim_1_vis_32.png', 'img/stim_1_vis_34.png', 'img/stim_1_vis_36.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,24,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,6,14,36,right,right,1,0.27978249997249804,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,30,30,23,468.959461542021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468.9492169590085,469.14616262502386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468.959461542021,469.163633084012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469.1462516669999,469.163633084012,471.15573716702056,20,img/stim_1_vis_1.png,img/stim_1_vis_36.png,471.15578625001945,471.1621289589966,471.1621289589966,471.44858883399866,right,1,0.27978249997249804,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
31,31,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_2.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_5.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_8.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_11.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_14.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_17.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png', 'img/stim_1_vis_24.png', 'img/stim_1_vis_25.png', 'img/stim_1_vis_27.png', 'img/stim_1_vis_28.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,27,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,4,6.1,28,right,left,0,0.4487145410093945,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,31,31,26,471.46010225001373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.4496213340026,471.64607575000264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.46010225001373,471.66542566701537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.6461679589993,471.66542566701537,473.6556259590143,20,img/stim_1_vis_1.png,img/stim_1_vis_28.png,473.655672834022,473.6621240840177,473.6621240840177,474.11461558399606,left,0,0.4487145410093945,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
32,32,0,NA,NA,NA,NA,"['img/noise_1.png', 'img/noise_2.png', 'img/noise_3.png', 'img/noise_4.png', 'img/noise_5.png', 'img/noise_6.png', 'img/noise_7.png', 'img/noise_8.png', 'img/noise_9.png', 'img/noise_10.png', 'img/noise_11.png', 'img/noise_12.png', 'img/noise_13.png', 'img/noise_14.png', 'img/noise_15.png', 'img/noise_16.png', 'img/noise_17.png', 'img/noise_18.png', 'img/noise_19.png', 'img/noise_20.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,9,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,0,0,0,0,left,left,1,0.28199741698335856,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,32,32,8,474.125809625024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474.1152531670232,474.3139844170073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474.125809625024,474.3329911250039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474.3140707090206,474.3329911250039,476.3220805420133,20,img/noise_1.png,img/noise_20.png,476.32212812500075,476.3287820420228,476.3287820420228,476.6142735420144,left,1,0.28199741698335856,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
33,33,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_3.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_6.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_9.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_13.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png', 'img/stim_1_vis_24.png', 'img/stim_1_vis_25.png', 'img/stim_1_vis_27.png', 'img/stim_1_vis_28.png', 'img/stim_1_vis_30.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,10,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,5,7.3,30,right,right,1,0.2389697500038892,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,33,33,9,476.6299925839994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.6153247920156,476.8132588750159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.6299925839994,476.8313269170176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.81334900000365,476.8313269170176,478.82228125000256,20,img/stim_1_vis_1.png,img/stim_1_vis_30.png,478.8223282090039,478.82876475001103,478.82876475001103,479.07207154200296,right,1,0.2389697500038892,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
34,34,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_3.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_6.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_9.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_13.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png', 'img/stim_1_vis_24.png', 'img/stim_1_vis_25.png', 'img/stim_1_vis_27.png', 'img/stim_1_vis_28.png', 'img/stim_1_vis_30.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,8,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,5,7.3,30,right,right,1,0.28654208400985226,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,34,34,7,479.0832078340172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479.0727726250189,479.27095291702426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479.0832078340172,479.2879601670138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479.27102808401105,479.2879601670138,481.27938504199847,20,img/stim_1_vis_1.png,img/stim_1_vis_30.png,481.27941841701977,481.28409070899943,481.28409070899943,481.58056212501833,right,1,0.28654208400985226,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
35,35,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_2.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_5.png', 'img/stim_1_vis_6.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_9.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_11.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_14.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_17.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_20.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png', 'img/stim_1_vis_24.png', 'img/stim_1_vis_25.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,35,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,2,4.8,25,right,left,0,0.2589374160161242,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,35,35,34,481.59126537499833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.5811335420003,481.7804035420122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.59126537499833,481.7975845420151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.7804752920056,481.7975845420151,483.78900554199936,20,img/stim_1_vis_1.png,img/stim_1_vis_25.png,483.7890664169972,483.7956961670134,483.7956961670134,484.0644678340177,left,0,0.2589374160161242,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
36,36,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_2.png', 'img/stim_1_vis_3.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_5.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_8.png', 'img/stim_1_vis_9.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_11.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_13.png', 'img/stim_1_vis_14.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_20.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,39,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,1,3.7,22,right,left,0,0.33466900000348687,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,36,36,38,484.07619250001153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.06561600000714,484.2641601670184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.07619250001153,484.2820050000155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484.2642520000227,484.2820050000155,486.272676417022,20,img/stim_1_vis_1.png,img/stim_1_vis_22.png,486.27275583401206,486.278855209006,486.278855209006,486.6209323340154,left,0,0.33466900000348687,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
37,37,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_2.png', 'img/stim_1_vis_3.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_5.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_8.png', 'img/stim_1_vis_9.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_11.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_13.png', 'img/stim_1_vis_14.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_20.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,42,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,1,3.7,22,right,left,0,0.3016360840119887,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,37,37,41,486.6325674999971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.6215144590242,486.81828033400234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.6325674999971,486.8345472920046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.81835245899856,486.8345472920046,488.8290835840162,20,img/stim_1_vis_1.png,img/stim_1_vis_22.png,488.82911616700585,488.8337817919965,488.8337817919965,489.1388625840191,left,0,0.3016360840119887,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
38,38,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_2.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_5.png', 'img/stim_1_vis_6.png', 'img/stim_1_vis_8.png', 'img/stim_1_vis_9.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_13.png', 'img/stim_1_vis_14.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_17.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png', 'img/stim_1_vis_23.png', 'img/stim_1_vis_25.png', 'img/stim_1_vis_26.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,19,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,3,5.3,26,right,left,0,0.3530824999907054,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,38,38,18,489.1500807090197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.1395457500184,489.33713212501607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.1500807090197,489.3546875840111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.3372133340162,489.3546875840111,491.3457069590222,20,img/stim_1_vis_1.png,img/stim_1_vis_26.png,491.34574020901346,491.3504151250236,491.3504151250236,491.7051020840008,left,0,0.3530824999907054,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
39,39,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_2.png', 'img/stim_1_vis_3.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_5.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_8.png', 'img/stim_1_vis_9.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_11.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_13.png', 'img/stim_1_vis_14.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_20.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,25,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,1,3.7,22,right,left,0,0.3231667919899337,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,39,39,24,491.7166720840032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.7057896250044,491.9037007090228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.7166720840032,491.9203601250192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.9037826670101,491.9203601250192,493.9125666250184,20,img/stim_1_vis_1.png,img/stim_1_vis_22.png,493.9125987919979,493.9172562090098,493.9172562090098,494.2481295840116,left,0,0.3231667919899337,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
40,40,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_3.png', 'img/stim_1_vis_4.png', 'img/stim_1_vis_6.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_9.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_13.png', 'img/stim_1_vis_15.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_22.png', 'img/stim_1_vis_24.png', 'img/stim_1_vis_25.png', 'img/stim_1_vis_27.png', 'img/stim_1_vis_28.png', 'img/stim_1_vis_30.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,37,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,5,7.3,30,right,right,1,0.29509012500056997,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,40,40,36,494.259529834002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.2491934590216,494.4472999170248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.259529834002,494.46438283400494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.44736408401513,494.46438283400494,496.4557591670018,20,img/stim_1_vis_1.png,img/stim_1_vis_30.png,496.455804584024,496.46223508400726,496.46223508400726,496.7652368340059,right,1,0.29509012500056997,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
41,41,0,NA,NA,NA,NA,"['img/stim_1_vis_1.png', 'img/stim_1_vis_3.png', 'img/stim_1_vis_5.png', 'img/stim_1_vis_7.png', 'img/stim_1_vis_8.png', 'img/stim_1_vis_10.png', 'img/stim_1_vis_12.png', 'img/stim_1_vis_14.png', 'img/stim_1_vis_16.png', 'img/stim_1_vis_18.png', 'img/stim_1_vis_19.png', 'img/stim_1_vis_21.png', 'img/stim_1_vis_23.png', 'img/stim_1_vis_25.png', 'img/stim_1_vis_27.png', 'img/stim_1_vis_29.png', 'img/stim_1_vis_30.png', 'img/stim_1_vis_32.png', 'img/stim_1_vis_34.png', 'img/stim_1_vis_36.png']",NA,NA,NA,NA,5,left,In diesem Block sollen Sie LINKS geneigte Streifenmuster ERKENNEN und LINKS geneigte Streifenmuster VORSTELLEN.,NA,NA,1,NA,NA,NA,LEFT,trialsB5.csv,99999,img/stim_1_vis_50_MI.png,img/stim_1_vis_50_DE.png,LEFT,1,6,14,36,right,right,1,0.23934108298271897,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,41,41,0,496.77630316701834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.7659642500221,496.9639770000067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.77630316701834,496.98120329200174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496.9640650420042,496.98120329200174,498.97233345900895,20,img/stim_1_vis_1.png,img/stim_1_vis_36.png,498.972380125022,498.97893195902,498.97893195902,499.2212801670248,right,1,0.23934108298271897,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-036
